k	d	a	sing.points fraction
6	5	7	0.045
there are 3 communities and 45 singular points
point number	cluster number	singular point	SI
1	3	0	1
2	2	0	1
3	1	0	1
4	1	1	2
5	1	0	1
6	2	0	1
7	2	0	1
8	1	0	1
9	3	0	1
10	3	0	1
11	3	0	1
12	2	1	2
13	3	0	1
14	3	0	1
15	1	0	1
16	2	0	1
17	1	0	1
18	1	0	1
19	1	0	1
20	1	0	1
21	1	0	1
22	3	0	1
23	1	0	1
24	1	0	1
25	2	0	1
26	1	0	1
27	1	0	1
28	1	0	1
29	2	0	1
30	3	0	1
31	3	0	1
32	2	0	1
33	3	0	1
34	3	0	1
35	1	1	2
36	2	0	1
37	3	0	1
38	2	0	1
39	2	0	1
40	1	0	1
41	3	0	1
42	1	0	1
43	1	0	1
44	1	0	1
45	2	0	1
46	1	0	1
47	2	0	1
48	1	0	1
49	2	0	1
50	3	0	1
51	1	0	1
52	3	0	1
53	1	0	1
54	1	0	1
55	2	0	1
56	3	0	1
57	3	0	1
58	2	0	1
59	1	0	1
60	3	0	1
61	1	0	1
62	1	0	1
63	3	0	1
64	2	0	1
65	1	0	1
66	3	0	1
67	2	0	1
68	1	0	1
69	1	0	1
70	2	0	1
71	1	0	1
72	3	0	1
73	1	0	1
74	2	0	1
75	3	0	1
76	1	0	1
77	3	0	1
78	2	0	1
79	2	0	1
80	3	0	1
81	1	0	1
82	1	0	1
83	1	0	1
84	3	0	1
85	2	0	1
86	1	0	1
87	1	0	1
88	2	0	1
89	2	0	1
90	3	0	1
91	2	0	1
92	1	0	1
93	1	0	1
94	3	0	1
95	1	0	1
96	3	0	1
97	1	1	2
98	2	0	1
99	2	0	1
100	3	0	1
101	2	0	1
102	1	0	1
103	3	0	1
104	1	0	1
105	3	0	1
106	1	0	1
107	2	0	1
108	1	0	1
109	1	0	1
110	1	0	1
111	1	0	1
112	2	0	1
113	3	0	1
114	1	0	1
115	1	0	1
116	1	0	1
117	3	0	1
118	2	0	1
119	2	0	1
120	3	0	1
121	2	0	1
122	1	0	1
123	2	0	1
124	2	0	1
125	2	0	1
126	1	0	1
127	1	0	1
128	3	0	1
129	3	0	1
130	1	0	1
131	1	0	1
132	2	1	2
133	2	0	1
134	1	0	1
135	3	0	1
136	2	0	1
137	2	0	1
138	3	0	1
139	3	0	1
140	3	0	1
141	3	0	1
142	1	0	1
143	2	0	1
144	3	1	2
145	1	0	1
146	2	0	1
147	1	0	1
148	2	0	1
149	3	0	1
150	2	0	1
151	1	0	1
152	2	0	1
153	1	0	1
154	1	0	1
155	3	0	1
156	1	0	1
157	1	0	1
158	1	0	1
159	3	0	1
160	2	0	1
161	1	0	1
162	2	0	1
163	1	0	1
164	1	0	1
165	3	0	1
166	3	0	1
167	3	0	1
168	3	0	1
169	3	0	1
170	2	0	1
171	1	0	1
172	3	0	1
173	2	0	1
174	3	0	1
175	1	0	1
176	3	0	1
177	1	0	1
178	3	0	1
179	2	0	1
180	2	0	1
181	1	0	1
182	3	0	1
183	3	0	1
184	1	0	1
185	1	0	1
186	3	0	1
187	1	0	1
188	1	0	1
189	3	0	1
190	3	0	1
191	3	0	1
192	2	0	1
193	3	0	1
194	1	0	1
195	2	0	1
196	2	0	1
197	1	0	1
198	3	0	1
199	2	0	1
200	1	1	2
201	3	0	1
202	2	0	1
203	1	0	1
204	1	0	1
205	1	0	1
206	2	0	1
207	3	0	1
208	2	0	1
209	2	0	1
210	3	1	2
211	1	0	1
212	3	0	1
213	1	0	1
214	1	0	1
215	2	0	1
216	2	0	1
217	3	0	1
218	2	0	1
219	2	1	2
220	2	0	1
221	2	0	1
222	3	0	1
223	1	0	1
224	1	0	1
225	1	0	1
226	2	0	1
227	2	0	1
228	3	0	1
229	3	0	1
230	3	0	1
231	3	0	1
232	2	0	1
233	1	0	1
234	3	0	1
235	2	0	1
236	1	0	1
237	1	0	1
238	2	0	1
239	2	0	1
240	3	0	1
241	1	0	1
242	3	0	1
243	1	0	1
244	1	0	1
245	1	0	1
246	3	0	1
247	1	0	1
248	1	0	1
249	2	0	1
250	2	0	1
251	1	0	1
252	1	0	1
253	3	0	1
254	1	0	1
255	2	1	2
256	3	0	1
257	3	0	1
258	2	0	1
259	3	0	1
260	1	0	1
261	2	0	1
262	2	0	1
263	1	0	1
264	1	0	1
265	2	0	1
266	3	0	1
267	3	0	1
268	3	0	1
269	1	0	1
270	2	0	1
271	1	0	1
272	1	0	1
273	2	0	1
274	2	0	1
275	3	0	1
276	2	0	1
277	2	0	1
278	2	0	1
279	1	0	1
280	2	1	2
